crop,MSP,market_price,cost_of_cultivation,estimated_profit,profitability
Rice,2546,2791,1500,1291,Medium
Maize,1984,2004,1200,804,Low
Chickpea,2275,3404,1500,1904,Medium
Kidneybeans,2409,3351,1500,1851,Medium
Pigeonpeas,2814,3454,1500,1954,Medium
Mothbeans,2452,2571,1500,1071,Medium
Mungbean,2670,3241,1500,1741,Medium
Blackgram,2484,2892,1500,1392,Medium
Lentil,2441,2511,1500,1011,Medium
Pomegranate,2096,2334,1500,834,Low
Banana,3298,3436,1500,1936,Medium
Mango,2892,3213,1500,1713,Medium
Grapes,2114,2371,1500,871,Low
Watermelon,3113,3496,1500,1996,Medium
Muskmelon,3242,3409,1500,1909,Medium
Apple,3078,3095,1500,1595,Medium
Orange,2075,2770,1500,1270,Medium
Papaya,2484,2654,1500,1154,Medium
Coconut,2140,2772,1500,1272,Medium
Cotton,7266,7349,4200,3149,High
Jute,2399,3276,1500,1776,Medium
Coffee,2340,3201,1500,1701,Medium
